college,college_name,zip,county,mean_students_per_cohort,ec_own_ses_college,ec_own_ses_se_college,ec_parent_ses_college,ec_parent_ses_se_college,ec_high_own_ses_college,ec_high_own_ses_se_college,ec_high_parent_ses_college,ec_high_parent_ses_se_college,exposure_own_ses_college,exposure_parent_ses_college,bias_own_ses_college,bias_parent_ses_college,bias_high_own_ses_college,bias_high_parent_ses_college,clustering_college,support_ratio_college,volunteering_rate_college,ec_parent_ses_college_quartile,bias_own_ses_college_quartile,lat,lon
100200,Alabama A & M University,35761,1089,943.6666666666666,.85677999,.022329999,.67628998,.03241,1.12202,.021679999,.74225998,.034979999,.84662002,.65090001,-.012,-.039000001,-.32528999,-.14036,.2447,.99483001,.032559998,1,2,34.914,-86.41001
100300,Faulkner University,36109,1101,227.6666666666667,1.30964,.048689999,1.26671,.058120001,1.5463901,.037610002,1.34606,.051339999,1.2377599,1.20183,-.05807,-.05398,-.24935,-.12001,.40753999,.99480999,.033360001,3,1,32.38682,-86.24052
100400,University of Montevallo,99929,1117,494,1.42378,.030400001,1.15413,.03638,1.57365,.02317,1.24102,.033950001,1.41664,1.17101,-.0050400002,.01442,-.11083,-.05979,.30921,.99682999,.095660001,3,2,56.36089,-132.00635
100500,Alabama State University,36104,1101,,.77916002,.019370001,.67089999,.030379999,1.04811,.01959,.73655999,.03201,.75161999,.65297002,-.03664,-.02747,-.39447999,-.12802,.23221999,.99484998,.021500001,1,1,32.39889,-86.31593
100700,Central Alabama Community College,35010,1123,,.72741997,.035039999,.77237999,.044969998,.98887998,.037769999,.86874998,.04984,.76578999,.76786,.050099999,-.0058900001,-.29133001,-.13139001,.34103999,.99270999,.02922,1,4,32.91433,-85.93816
100800,Athens State University,35611,1083,,1.32309,.070260003,,,1.46812,.056600001,,,1.2751,,-.037629999,,-.15138,,.24865,.83389002,.055300001,,1,34.76554,-87.08418
100900,Auburn University,36849,1081,3839,1.5046999,.01476,1.47306,.01575,1.75911,.0069200001,1.58979,.01147,1.5608799,1.49203,.03599,.01271,-.127,-.065520003,.20982,.99496001,.046130002,4,4,32.59953,-85.48858
101200,Birmingham-Southern College,35254,1073,288.6666666666667,1.65549,.033709999,1.5300699,.04146,1.76516,.02324,1.53643,.036839999,1.64237,1.51515,-.0079899998,-.0098400004,-.074770004,-.01405,.43842,.99803001,.088660002,4,2,33.51375,-86.85282
101300,John C Calhoun State Community College,35671,1083,1604.333333333333,.85263997,.02059,.95345998,.0264,1.09979,.019619999,1.10506,.02626,.89451998,1.01473,.04682,.060380001,-.22948,-.089019999,.21539,.97986001,.0495,2,4,34.66607,-86.95191
101500,Enterprise State Community College,36330,1031,289,.74866003,.049789999,.87146997,.065970004,.98686999,.05192,.94951999,.068939999,.83082002,.84570003,.098889999,-.030470001,-.18783,-.12277,.28896999,.98071003,.045839999,1,4,31.30743,-85.85854
101600,University of North Alabama,35632,1077,806,1.28521,.02063,1.0954601,.024639999,1.49164,.016380001,1.1947401,.023290001,1.27221,1.08496,-.01022,-.0096800001,-.17248,-.10119,.24518,.99523002,.0561,2,2,34.80763,-87.68043
101700,Gadsden State Community College,35903,1055,819.3333333333334,.74905998,.02162,.75398999,.02722,.96925998,.020880001,.82380003,.02806,.76357001,.75222999,.018999999,-.00233,-.26938,-.095140003,.25178,.98901999,.067529999,1,3,34.03144,-85.85703
101800,George C Wallace Community College-Dothan,36303,1045,655,.82826,.03125,.81516999,.03816,1.14627,.03088,.90056002,.039159998,.92177999,.85405999,.10145,.045529999,-.24355,-.054450002,.27735999,.97758001,.03303,1,4,31.26389,-85.39213
101900,Huntingdon College,36106,1101,128.6666666666667,1.4523799,.041340001,1.30642,.048330002,1.59843,.033920001,1.35473,.046080001,1.41497,1.2781399,-.02644,-.022129999,-.12965,-.059920002,.48394001,.99922001,.046379998,3,1,32.35264,-86.25793
102000,Jacksonville State University,36265,1015,1154.666666666667,1.23242,.019640001,1.10955,.02368,1.4421999,.01559,1.19055,.02196,1.20969,1.09375,-.018789999,-.01444,-.19221,-.088500001,.25791001,.99482,.055459999,2,2,33.84659,-85.78662
102200,Jefferson State Community College,35215,1073,1268.666666666667,.97117001,.030029999,.87146002,.036079999,1.30592,.026149999,1.0288399,.035950001,1.07461,.90556997,.096249998,.037670001,-.21525,-.13613001,.20487,.93842,.048459999,1,4,33.64911,-86.70435
102300,Judson College,36756,1105,,,,,,,,,,,,,,,,.65517467,.99900699,.067542553,,,32.69327,-87.29873
102400,University of West Alabama,35470,1119,335,1.09048,.035459999,.79418999,.04205,1.34566,.030619999,.92988998,.044629999,1.0996799,.83551002,.0083699999,.049449999,-.22368,-.11296,.38264999,.99791998,.037760001,1,3,32.56801,-88.09894
102600,Marion Military Institute,36756,1105,,1.27651,.061980002,1.11689,.077179998,1.37782,.056880001,1.15302,.074369997,1.29571,1.15242,.01482,.03083,-.063359998,-.00052,.53750998,.99831003,.054030001,2,3,32.69327,-87.29873
102800,Miles College,35064,1073,,.69805002,.032299999,.53021002,.04569,.87055999,.03458,.55783999,.050799999,.64133,.50906998,-.088440001,-.041529998,-.35743001,-.095810004,.34171,.99515003,.02963,1,1,33.47474,-86.91964
102900,University of Mobile,36613,1097,189.5,1.4921499,.041409999,1.35408,.04634,1.63763,.02949,1.38177,.041639999,1.4340301,1.26875,-.04053,-.067259997,-.14198001,-.089079998,.40327999,.99759001,.045559999,3,1,30.81175,-88.18176
103000,Bishop State Community College,36603,1097,641.6666666666666,.38955,.0231,.48662999,.040929999,.58345002,.034279998,.65306997,.05418,.44018999,.58346999,.11505,.16598,-.32541999,-.11928,.19070999,.98635,.02454,1,4,30.68426,-88.05273
103100,Northeast Alabama Community College,35986,1071,294.5,.74093002,.026699999,.66996998,.033039998,.91159999,.02702,.70923001,.0341,.72733998,.65956002,-.018689999,-.015790001,-.25332999,-.075300001,.28022,.99607003,.039799999,1,2,34.50524,-85.84012
103300,Oakwood University,35896,1089,,1.47346,.030649999,1.11614,.04679,1.53231,.02482,1.15464,.045359999,1.4252599,1.1292599,-.033810001,.01162,-.075110003,-.02248,.42829999,.99887002,.092479996,2,1,34.75318,-86.65213
103600,Samford University,35229,1073,632,1.7046601,.02376,1.60338,.025800001,1.82348,.01345,1.64492,.022740001,1.70297,1.61783,-.00098999997,.0089299995,-.070759997,-.01674,.32558,1,.056910001,4,3,33.46434,-86.79399
104000,Southern Union State Community College,36276,1111,880,.69380999,.023399999,.81918001,.032000002,.96957999,.02595,1.00247,.033270001,.75211,.88116997,.077529997,.070349999,-.28913,-.13765,.28636,.99190998,.03176,1,4,33.12644,-85.57772
104100,Spring Hill College,36608,1097,231.3333333333333,1.5201,.035909999,1.26921,.050030001,1.70994,.024040001,1.35877,.042649999,1.5063601,1.30708,-.0091199996,.02898,-.13514,-.039549999,.43505999,.99976999,.07762,3,2,30.68115,-88.29593
104400,Stillman College,35401,1125,211.5,1.02073,.045279998,.64317,.062770002,1.16632,.04386,.70011002,.066550002,.95212001,.62006998,-.072059996,-.037250001,-.22497,-.12909,.46823999,.99831998,.037009999,1,1,33.179,-87.61586
104600,Talladega College,35160,1121,,.73113,.042160001,.52792001,.071369998,.87759,.045570001,.54031003,.081079997,.74177998,.53307998,.01435,.0096899997,-.1831,-.01355,.49786001,.99822998,.033459999,1,3,33.36898,-86.1005
104700,Troy University,36082,1109,1424,1.16417,.019379999,1.09396,.02286,1.4737,.01453,1.26553,.019780001,1.2034301,1.1257,.03263,.028200001,-.22458,-.12421,.25163001,.99482,.0436,2,4,31.80271,-85.95514
105000,Tuskegee University,36088,1087,522.6666666666666,1.26482,.02785,.94705999,.039239999,1.41397,.023320001,.98372,.038079999,1.21698,.91347998,-.039310001,-.036770001,-.16187,-.076889999,.38640001,1,.036180001,2,1,32.41911,-85.718
105100,The University of Alabama,35487,1125,2843.666666666667,1.3651,.01482,1.25572,.017270001,1.76917,.0064699999,1.5481499,.01116,1.52803,1.38617,.10663,.094109997,-.15781,-.11685,.20902,.99241,.04933,3,4,33.21426,-87.54782
105200,University of Alabama at Birmingham,35254,1073,1373.333333333333,1.32928,.020810001,1.17149,.02469,1.61756,.01395,1.3208899,.02114,1.3869801,1.19107,.0416,.01644,-.16625001,-.109,.21042,.98268998,.067929998,3,4,33.51375,-86.85282
105500,University of Alabama in Huntsville,35901,1089,636.3333333333334,1.41845,.0285,1.34578,.035050001,1.56536,.022329999,1.4184099,.02984,1.3693,1.32909,-.0359,-.01256,-.14318,-.067199998,.25371999,.98575002,.073629998,3,1,34.04848,-85.92395
105700,University of South Alabama,36688,1097,1342,1.1823601,.018340001,1.10579,.02224,1.46131,.01427,1.23987,.020330001,1.22013,1.12237,.030959999,.01476,-.19766,-.10469,.20663001,.9892,.04538,2,4,30.69559,-88.18783
105900,Lawson State Community College,35221,1073,,.43255001,.02369,.40288001,.03895,.63911998,.031830002,.45499,.052930001,.46650001,.45612001,.072779998,.11671,-.37002,.0024900001,.19828001,.98180002,.03018,1,4,33.4497,-86.89901
106000,Coastal Alabama Community College,36507,1003,635.5,.82161999,.027380001,.74761999,.034019999,1.03624,.02626,.87440002,.036570001,.83701003,.81585997,.01839,.083630003,-.23802,-.07175,.26938999,.97674,.037760001,1,3,30.85893,-87.74188
106100,Alaska Pacific University,99508,2020,,,,,,,,,,,,,,,,.57892877,.9959287,.13093886,,,61.20145,-149.8146
106300,University of Alaska Fairbanks,99775,2090,3342.666666666667,1.49155,.02987,1.4486099,.034850001,1.63845,.021090001,1.4766999,.027829999,1.5015399,1.4030499,.00666,-.032469999,-.091179997,-.05249,.23201001,.98381001,.11557,4,3,64.85744,-147.83483
106500,University of Alaska Southeast,99801,2110,3342.666666666667,1.40318,.055920001,1.3565,.064280003,1.58448,.036529999,1.42083,.050840002,1.33,1.2690001,-.055029999,-.068949997,-.19134,-.11965,.33574,.99138999,.088079996,3,1,58.39785,-134.05472
107100,Arizona Western College,85365,4027,765.6666666666666,.98345,.023019999,.64486003,.03052,1.17316,.020609999,.86278999,.034589998,.99400997,.69392002,.01063,.070710003,-.18023001,-.24336,.18952,.98657,.030610001,1,3,33.07067,-114.13801
107200,Cochise County Community College District,85635,4003,682.6666666666666,.96073002,.03455,.75993001,.041170001,1.17769,.031970002,.89661002,.044330001,1.03702,.84377998,.073569998,.099370003,-.13564,-.06261,.26718,.97808999,.05985,1,4,31.55322,-110.17304
107300,Eastern Arizona College,85552,4009,453.6666666666667,1.22903,.034079999,1.07195,.038929999,1.55562,.02286,1.22144,.035670001,1.2954201,1.09268,.05125,.01897,-.20087001,-.11784,.3053,.99511999,.051729999,2,4,32.81399,-109.78953
107600,Glendale Community College,85302,4013,13666.66666666667,1.0878,.023870001,.99984998,.02956,1.29414,.020889999,1.1603301,.02706,1.13123,1.01507,.038389999,.01499,-.14401001,-.14309999,.17709,.91099,.029060001,2,4,33.56777,-112.17819
107700,Mesa Community College,85202,4013,13666.66666666667,1.2137901,.027310001,1.06259,.03215,1.4599299,.02193,1.25115,.0296,1.28301,1.12356,.053950001,.054269999,-.13789999,-.11356,.16924,.90355998,.04476,2,4,33.38252,-111.87482
107800,Phoenix College,85013,4013,13666.66666666667,.76808,.03119,.47507,.04397,.92383999,.03207,.71719998,.054019999,.80206001,.56300002,.042369999,.15617,-.15183,-.2739,.1644,.86829001,.03028,1,4,33.51001,-112.08294
107900,Yavapai College,86301,4025,505.6666666666667,.98979998,.032480001,.79527998,.037220001,1.24538,.02902,.88617003,.037360001,1.04487,.81515002,.05271,.02437,-.19191,-.087130003,.23810001,.97992998,.053690001,1,4,34.59452,-112.42454
108100,Arizona State University Campus Immersion,85286,4013,12056,1.6007299,.01514,1.36075,.01715,1.79284,.0079600001,1.5273,.01253,1.6346999,1.40581,.02077,.032060001,-.09674,-.08642,.17369001,.96845001,.055720001,3,3,33.27146,-111.83156
108200,Northern Arizona University,86011,4005,12056,1.6415,.017729999,1.3823,.021190001,1.75203,.01148,1.47852,.017039999,1.61847,1.40175,-.01423,.01387,-.082520001,-.05477,.18376,.97359002,.068109997,4,2,35.18953,-111.65469
108300,University of Arizona,85721,4019,12056,1.51406,.01564,1.28475,.018959999,1.7974401,.00734,1.56335,.01297,1.62682,1.4212199,.069320001,.096029997,-.10488,-.10001,.19425,.98435003,.056620002,3,4,32.23107,-110.94957
108500,University of Arkansas at Monticello,71655,5043,434.6666666666667,.96789002,.02699,.80089003,.034910001,1.14702,.02593,.89635003,.03664,.98721999,.80707997,.01957,.0076700002,-.16188,-.11061,.31066999,.99751002,.05068,1,3,33.62874,-91.7486
108600,University of Arkansas at Pine Bluff,71601,5069,596.6666666666666,.97738999,.02507,.65035999,.037390001,1.0957,.024250001,.72307998,.039730001,.92287999,.63910002,-.05906,-.01761,-.18726,-.13139001,.31964999,.99743003,.024870001,1,1,34.17409,-91.89811
108700,Arkansas Baptist College,72202,5119,,.58318001,.059300002,,,.60760999,.068209998,,,.61074001,,.045120001,,.0051099998,,.39396,.98145002,.01526,,4,34.74626,-92.27016
108800,Lyon College,72501,5063,,1.44017,.04862,1.1327,.063950002,1.49957,.044410001,1.13243,.061790001,1.39121,1.02349,-.035190001,-.10671,-.077890001,-.10644,.51814002,.99919999,.074210003,2,1,35.79167,-91.65399
108900,Arkansas Tech University,72801,5115,951,1.17919,.018440001,.86069,.022949999,1.32198,.01637,.95248997,.02245,1.17572,.85267001,-.00296,-.0094100004,-.12441,-.11707,.23732001,.99225998,.089230001,1,2,35.28057,-93.14161
109000,Arkansas State University,72401,5031,1956.666666666667,1.21556,.01684,.95050001,.02049,1.3645,.01398,1.05357,.01983,1.2218,.92575997,.0051099998,-.02672,-.11679,-.13806,.23678,.99568999,.06146,2,3,35.86835,-90.66193
109100,Arkansas State University-Beebe,72012,5145,644.6666666666666,1.0180399,.032669999,.75620002,.038869999,1.1187299,.030619999,.80132997,.04126,1.0220701,.75455999,.0039400002,-.00217,-.094580002,-.061969999,.26429,.98290002,.067550004,1,3,35.10199,-91.91789
109200,University of Central Arkansas,72035,5045,1487.666666666667,1.38012,.01691,1.05094,.021910001,1.51931,.01321,1.1612,.02028,1.36838,1.04896,-.0085800001,-.00188,-.11029,-.107,.21446,.99158001,.080030002,2,2,35.07902,-92.45829
109300,Central Baptist College,72034,5045,,1.40439,.064630002,1.21866,.078149997,1.49454,.054839998,1.21155,.07361,1.3286999,1.06618,-.05697,-.14301001,-.12482,-.13634001,.48785001,.99728,.06295,3,1,35.05405,-92.47945
109400,University of the Ozarks,72830,5071,107,1.38241,.047479998,1.04637,.064889997,1.44543,.04349,1.08293,.063139997,1.3213,.98584998,-.046250001,-.061390001,-.093939997,-.098480001,.50792998,.99830002,.10029,2,1,35.51685,-93.50859
109500,Crowley's Ridge College,72450,5055,,,,,,,,,,,,,,,,.62088263,.9984026,.033183269,,,36.0784,-90.51695
109700,Harding University,72150,5145,790,1.6883301,.01877,1.47255,.02135,1.75595,.01262,1.51282,.0188,1.6645,1.46463,-.01432,-.0054100002,-.05494,-.032900002,.28399,.99814999,.051070001,4,2,34.30999,-92.39642
109800,Henderson State University,71999,5019,503.6666666666667,1.15391,.025690001,.93409002,.031989999,1.28268,.02306,1.00713,.032579999,1.15911,.92719001,.0044800001,-.0074399998,-.10662,-.086220004,.29482001,.99542999,.054590002,2,3,34.12732,-93.05941
